Country Code,Country
1,Armenia
2,Afghanistan
3,Albania
4,Algeria
5,American Samoa
6,Andorra
7,Angola
8,Antigua and Barbuda
9,Argentina
10,Australia
11,Austria
12,Bahamas
13,Bahrain
14,Barbados
15,Belgium-Luxembourg
16,Bangladesh
17,Bermuda
18,Bhutan
19,Bolivia (Plurinational State of)
20,Botswana
21,Brazil
22,Aruba
23,Belize
24,Chagos Archipelago
25,Solomon Islands
26,Brunei Darussalam
27,Bulgaria
28,Myanmar
29,Burundi
30,Antarctica
31,Bouvet Island
32,Cameroon
33,Canada
35,Cabo Verde
36,Cayman Islands
37,Central African Republic
38,Sri Lanka
39,Chad
40,Chile
42,Christmas Island
43,Cocos (Keeling) Islands
44,Colombia
45,Comoros
46,Congo
47,Cook Islands
48,Costa Rica
49,Cuba
50,Cyprus
51,Czechoslovakia
52,Azerbaijan
53,Benin
54,Denmark
55,Dominica
56,Dominican Republic
57,Belarus
58,Ecuador
59,Egypt
60,El Salvador
61,Equatorial Guinea
62,Ethiopia PDR
63,Estonia
64,Faroe Islands
65,Falkland Islands (Malvinas)
66,Fiji
67,Finland
68,France
69,French Guyana
70,French Polynesia
71,French Southern Territories
72,Djibouti
73,Georgia
74,Gabon
75,Gambia
77,Germany Nl
78,Germany Fr
79,Germany
80,Bosnia and Herzegovina
81,Ghana
82,Gibraltar
83,Kiribati
84,Greece
85,Greenland
86,Grenada
87,Guadeloupe
88,Guam
89,Guatemala
90,Guinea
91,Guyana
92,Heard and McDonald Islands
93,Haiti
94,Holy See
95,Honduras
97,Hungary
98,Croatia
99,Iceland
100,India
101,Indonesia
102,Iran (Islamic Republic of)
103,Iraq
104,Ireland
105,Israel
106,Italy
107,C?te d'Ivoire
108,Kazakhstan
109,Jamaica
110,Japan
111,Johnston Island
112,Jordan
113,Kyrgyzstan
114,Kenya
115,Cambodia
116,Democratic People's Republic of Korea
117,Republic of Korea
118,Kuwait
119,Latvia
120,Lao People's Democratic Republic
121,Lebanon
122,Lesotho
123,Liberia
124,Libya
125,Liechtenstein
126,Lithuania
127,Marshall Islands
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
135,Martinique
136,Mauritania
137,Mauritius
138,Mexico
139,Midway Island
140,Monaco
141,Mongolia
142,Montserrat
143,Morocco
144,Mozambique
145,Micronesia (Federated States of)
146,Republic of Moldova
147,Namibia
148,Nauru
149,Nepal
150,Netherlands
151,Netherlands Antilles (former)
153,New Caledonia
154,North Macedonia
155,Vanuatu
156,New Zealand
157,Nicaragua
158,Niger
159,Nigeria
160,Niue
161,Norfolk Island
162,Norway
164,Pacific Islands Trust Territory
165,Pakistan
166,Panama
167,Czechia
168,Papua New Guinea
169,Paraguay
170,Peru
171,Philippines
172,Pitcairn
173,Poland
174,Portugal
175,Guinea-Bissau
176,Timor-Leste
177,Puerto Rico
178,Eritrea
179,Qatar
180,Palau
181,Zimbabwe
182,R?union
183,Romania
184,Rwanda
185,Russian Federation
186,Serbia and Montenegro
187,Saint Helena Ascension and Tristan da Cunha
188,Saint Kitts and Nevis
189,Saint Lucia
190,Saint Pierre and Miquelon
191,Saint Vincent and the Grenadines
192,San Marino
193,Sao Tome and Principe
194,Saudi Arabia
195,Senegal
196,Seychelles
197,Sierra Leone
198,Slovenia
199,Slovakia
200,Singapore
201,Somalia
202,South Africa
203,Spain
205,Western Sahara
206,Sudan (former)
207,Suriname
208,Tajikistan
209,Eswatini
210,Sweden
211,Switzerland
212,Syrian Arab Republic
213,Turkmenistan
215,United Republic of Tanzania
216,Thailand
217,Togo
218,Tokelau
219,Tonga
220,Trinidad and Tobago
221,Oman
222,Tunisia
223,Turkey
224,Turks and Caicos Islands
225,United Arab Emirates
226,Uganda
227,Tuvalu
228,USSR
229,United Kingdom of Great Britain and Northern Ireland
230,Ukraine
231,United States of America
232,United States Minor Outlying Islands
233,Burkina Faso
234,Uruguay
235,Uzbekistan
236,Venezuela (Bolivarian Republic of)
237,Viet Nam
238,Ethiopia
239,British Virgin Islands
240,United States Virgin Islands
242,Wake Island
243,Wallis and Futuna Islands
244,Samoa
246,Yemen Ar Rp
247,Yemen Dem
248,Yugoslav SFR
249,Yemen
250,Democratic Republic of the Congo
251,Zambia
255,Belgium
256,Luxembourg
258,Anguilla
259,Channel Islands
260,Svalbard and Jan Mayen Islands
264,Isle of Man
270,Mayotte
271,South Georgia and the South Sandwich Islands
272,Serbia
273,Montenegro
274,Guernsey
275,Kosovo
276,Sudan
277,South Sudan
278,Bonaire Sint Eustatius and Saba
279,Cura?ao
280,Sint Maarten (Dutch part)
281,Saint-Martin (French part)
282,Saint Barth?lemy
283,Jersey
299,Palestine
351,China
618,Polynesia
